x values:
0.01016819290075259 0.9999786782309464
0.020335520369755663 0.999993376084281
0.03050067478074012 0.9999046481347053
0.04066225593791408 0.9997125140637921
0.050820189899377415 0.9994169731375975
0.06097258874795965 0.9990180760184925
0.07111896026711637 0.9985158420461192
0.08125797603234383 0.9979103327052513
0.09138858737666532 0.9972016106230378
0.10150863484471914 0.9963898439807584
0.11161985136615625 0.9954748852109937
0.12171896734329275 0.9944570130347948
0.13180549406478018 0.9933362852902127
0.14187838829252442 0.9921128178928553
0.15193439928906882 0.9907870400946799
0.16197690813071636 0.9893585061368365
0.17200266388325855 0.9878276439434339
0.18201062959407424 0.9861946118498237
0.19199977015054612 0.9844595787586756
0.2019690523871214 0.9826227241225072
0.21191744519217087 0.9806842379251237
0.2218428300350678 0.9786445503935928
0.2317463619686381 0.9765034241621209
0.24162592463710333 0.9742612992817342
0.2514804962084282 0.971918407652883
0.26130905743537847 0.9694749915982085
0.2711105917609405 0.9669313038374804
0.28088408542346244 0.9642876074614575
0.2906285275615069 0.9615441759046773
0.30034291031840277 0.958701292917175
0.3100262289464869 0.9557592525351344
0.31967748191102396 0.9527183590504776
0.32929567099379414 0.9495789269793915
0.33887980139633755 0.9463412810297979
0.3484288818428454 0.9430057560677694
0.3579419246826861 0.9395726970828946
0.36741378898513993 0.9360440322010584
0.37685182558958397 0.9324170229277116
0.38625088483431386 0.9286935748122567
0.39560999458522217 0.9248740729667371
0.4049281868401323 0.9209589124379249
0.4142044978289185 0.9169484981664625
0.4234379681131869 0.9128432449449794
0.4326296575106944 0.9086426440254998
0.44177056617926885 0.904350883775639
0.4508738021525179 0.8999617719144862
0.45992242620094376 0.8954834756666772
0.46893141814018646 0.8909085813025871
0.4778840141093015 0.8862456017494637
0.48679503495136933 0.8814868175381739
0.4956478991092882 0.876641083776739
0.5044572623221251 0.8717003784500991
0.5132067321964909 0.8666738951836477
0.5219107933042898 0.8615533127351448
0.5305532491974566 0.8563481594439093
0.5391484072883962 0.8510498182830585
0.5476802737749155 0.8456681483639173
0.5561555440950678 0.8401990888170905
